Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2	x3	x4	x5
66	66	1	1	2.55941481069297	0.08483766067404769	0.739004875557009	-0.07803317196740742	1.0	1.0	Generation 3.
67	67	1	1	1.6270801640118	-0.3425920539999898	-0.4404281832614526	0.2563861617499811	1.0	0.5	Generation 3.
68	68	1	1	0.352130339720548	-0.12145740115963904	0.09422415912697485	0.2801789557781042	-0.3	-0.4	Generation 3.
69	69	1	1	1.53378596863001	0.17563165780266687	0.5783813156701916	0.39801324486896106	-0.1	1.0	Generation 3.
70	70	1	1	1.44399117366067	-0.24437039194419682	0.35370078265075555	-0.09576033392772221	1.0	-0.5	Generation 3.
71	71	1	1	1.66553085916571	0.3884382786868107	0.4948113888782252	-0.5097138925445673	1.0	0.1	Generation 3.
72	72	1	1	1.56061915436961	-0.11159614220794517	0.06295611666347156	-0.6198402881295905	1.0	-0.4	Generation 3.
73	73	1	1	0.149016127701134	0.12824453132759076	0.16497120302520987	0.07317082791738783	0.3	0.1	Generation 3.
74	74	1	1	0.950522851486143	-0.1656265786397878	0.5166459395100998	0.49615286064069725	0.5	0.4	Generation 3.
75	75	1	1	1.15583486926217	0.06632321329569318	0.15038154501633735	-0.6393915010060802	-0.6	0.6	Generation 3.
76	76	1	1	1.44735933678585	0.48507723057568	0.020962040040348434	-0.4142704551862507	1.0	-0.2	Generation 4.
77	77	1	1	2.73986464152804	0.43534621844714394	0.1106106709112636	-0.7335554451385217	1.0	1.0	Generation 4.
78	78	1	1	0.283067551530279	0.38439302964439254	-0.17029792893828966	-0.07942396168923668	0.3	-0.1	Generation 4.
79	79	1	1	1.00936368682741	0.4234391144542885	-0.05753067696148556	0.08217800427078789	-0.9	-0.1	Generation 4.
80	80	1	1	1.30095273773943	-0.028419783543124078	-0.016272725324700615	-0.7873247437070066	0.8	-0.2	Generation 4.
81	81	1	1	1.79289246876305	0.31978541738683997	-0.6865062188603075	-0.24359590935788944	-0.4	-1.0	Generation 4.
82	82	1	1	1.07606731629093	0.3891147617217411	0.04117226037589561	-0.5594299451018923	0.6	0.5	Generation 4.
83	83	1	1	1.66100639254542	0.2756064196360561	-0.6359251007656741	0.14368980554298996	0.4	1.0	Generation 4.
83	84	1	1	0.442956382217327	0.154200522748553	-0.5901729084828768	0.2467276212633316	0.0	-0.1	Generation 4.
84	85	1	1	1.45561662541197	-0.3456072898987214	-0.28911839282778445	-0.05082107347856529	0.5	1.0	Generation 4.
85	86	1	1	1.17907679426314	0.13297411811676668	-0.2574615224509068	-0.07147197094993396	-1.0	0.3	Generation 4.
86	87	1	1	0.224690234335444	0.06808987689910237	0.0033352608776087977	-0.20010716887254926	-0.3	0.3	Generation 4.
87	88	1	1	0.789112790950743	-0.10328172998816346	0.12942947763650725	-0.14728776432594703	-0.7	-0.5	Generation 4.
88	89	1	1	1.17796173829529	0.1105115109461921	-0.2561557757181805	-0.10066361214410052	1.0	0.3	Generation 4.
89	90	1	1	1.5737099621451	-0.3327795776506606	-0.11357509936546184	0.008271133409147868	0.8	0.9	Generation 4.
90	91	1	1	1.43748983781092	-0.11189642578604014	0.6493836458260307	-0.18240040636171334	-0.9	0.4	Generation 4.
91	92	1	1	0.525431099788406	-0.2739579128594797	-0.22408322573386308	0.2452852823036691	-0.3	-0.5	Generation 4.
92	93	1	1	0.331849873955861	0.06759578913951247	0.2692687720817216	0.2340406196113598	0.4	0.2	Generation 4.
93	94	1	1	2.27642796174617	0.058054587089085605	0.3867694790370867	0.351378708446406	1.0	1.0	Generation 4.
94	95	1	1	0.934107298672288	-0.26491066202721036	0.11771785990028286	-0.008493837595014278	-0.2	0.9	Generation 4.
95	96	1	1	1.49578251764804	0.2829045691469972	0.2047327891525611	-0.6354777788794852	0.9	0.4	Generation 4.
96	97	1	1	0.897817820646578	0.15325456795915804	0.07583419392818076	-0.35858058101003326	-0.7	0.5	Generation 4.
97	98	1	1	1.69363067838457	0.12582140906608325	0.17492229855206007	0.08486366050586507	-0.8	1.0	Generation 4.
98	99	1	1	1.88930622150001	0.05432198477339764	0.39621576074393017	0.29894550407791787	0.8	1.0	Generation 4.
99	100	1	1	0.374506437590911	-0.12102817840306446	0.3590610383367825	-0.4592752860451545	-0.1	0.1	Generation 4.
100	101	1	1	1.53631225758669	0.5180044837276425	0.08030220551801956	-0.31864583507977595	-0.4	1.0	Generation 5.
101	102	1	1	0.667496890830249	0.42908080483397576	6.144440098699577E-4	-0.5686705339753727	0.0	0.4	Generation 5.
102	103	1	1	1.16293622905977	0.23327798886277185	0.052805871129330384	-0.12541590388056553	0.3	1.0	Generation 5.
